identity_id,shelf_name,start_t,end_t,duration_s,median_dist_bh
1,shelf-a,31.799999237060547,75.93333435058594,44.13333511352539,0.6422227101657936
1,shelf-b,0.0,29.733333587646484,29.733333587646484,0.7865880921472682
7,shelf-b,9.566666603088379,12.133333206176758,2.566666603088379,1.1773465213527445
10,shelf-a,42.099998474121094,73.16666412353516,31.066665649414062,0.7611907030944361
10,shelf-a,77.33333587646484,80.30000305175781,2.9666671752929688,0.591341677445451
10,shelf-b,20.03333282470703,42.06666564941406,22.03333282470703,0.743370490199595
10,shelf-c,73.19999694824219,77.30000305175781,4.100006103515625,0.6713330545087537
32,shelf-b,211.46665954589844,216.73333740234375,5.2666778564453125,1.1804347179247774
32,shelf-c,189.23333740234375,194.93333435058594,5.6999969482421875,1.124255414014124
49,shelf-a,310.8333435058594,313.9333190917969,3.0999755859375,1.0450121135904242
55,shelf-c,371.79998779296875,374.1666564941406,2.366668701171875,0.855066067434458
