shelf_name,total_engagements,unique_visitors,total_dwell_s,avg_dwell_s
shelf-a,4,3,81.26664352416992,20.31666088104248
shelf-b,4,4,59.60001087188721,14.900002717971802
shelf-c,3,3,12.166671752929688,4.0555572509765625
shelf-d,0,0,0.0,0.0
