identity_id,first_t_s,last_t_s,seconds_in_hallway,peak_interest,orientation_at_peak,decel_at_peak,approach_at_peak,dwell_at_peak,interested,entered,low_confidence
2,0.0,2.066666603088379,2.1,0.17254548519849777,0.17369894683361053,0.49023860692977905,0.0,0.0,False,False,False
3,0.0,2.3333332538604736,1.3666666666666667,0.20870639383792877,0.07294785231351852,0.6154605746269226,0.0975484699010849,0.0,False,False,True
8,17.399999618530273,25.233333587646484,3.6333333333333333,0.6749565005302429,0.08296246826648712,0.6261029839515686,1.0,0.0,True,False,False
10,26.899999618530273,33.16666793823242,5.566666666666666,0.6010265350341797,0.9547556638717651,0.8356552720069885,0.024840155616402626,0.0,False,False,False
11,27.200000762939453,35.36666488647461,4.4,0.5790737867355347,0.1871349811553955,1.0,0.4899647533893585,0.0,False,False,False
13,32.5,40.86666488647461,6.7,0.46145178377628326,0.907619833946228,0.5152835249900818,0.0,0.0,False,False,False
15,39.13333511352539,46.233333587646484,5.8,0.5618928074836731,0.8473541140556335,1.0,0.0,0.0,False,False,False
17,50.56666564941406,57.63333511352539,7.0,0.5247156023979187,0.8368174433708191,0.7071551084518433,0.0,0.0,False,False,False
18,50.86666488647461,58.13333511352539,5.333333333333333,0.5916178524494171,0.8618605732917786,1.0,0.0,0.0,False,False,False
19,51.06666564941406,53.93333435058594,2.8333333333333335,0.6109395325183868,0.9040572047233582,1.0,0.0,0.0,True,False,False
21,56.29999923706055,57.83333206176758,1.4333333333333333,0.4893054813146591,0.1976878046989441,0.9073193669319153,0.08966877311468124,0.0,False,False,True
23,67.63333129882812,75.76667022705078,7.0,0.5799973607063293,0.8939278721809387,0.76716548204422,0.016662737354636192,0.0,False,False,False
24,69.03333282470703,180.0,6.833333333333333,0.9911088943481445,0.9783346056938171,1.0,1.0,1.0,True,False,False
25,76.30000305175781,94.23332977294922,2.6,0.5999130010604858,0.9833106994628906,0.6311772465705872,1.0,0.0,True,False,False
26,81.0,96.03333282470703,11.333333333333334,0.549789696931839,0.7286188006401062,1.0,0.0,0.0,False,False,False
27,88.36666870117188,95.43333435058594,5.933333333333334,0.5592045485973358,0.8898651003837585,0.9495934247970581,0.0,0.0,False,False,False
28,97.66666412353516,103.73332977294922,5.433333333333334,0.5067647695541382,0.943705677986145,0.9699057340621948,0.0,0.0,False,False,False
29,109.66666412353516,135.43333435058594,22.5,0.708727240562439,0.9934420585632324,1.0,0.3017966151237488,0.0,True,False,False
30,109.96666717529297,136.06666564941406,22.033333333333335,0.6907637715339661,0.9994604587554932,1.0,0.20907405018806458,0.0,True,False,False
31,119.76667022705078,133.63333129882812,10.6,0.5727375149726868,0.9552667737007141,0.6495746374130249,0.0,0.0,False,False,False
32,120.19999694824219,134.53334045410156,10.3,0.5881608724594116,0.9488425850868225,0.8263196349143982,0.0,0.0,False,False,False
34,126.06666564941406,133.13333129882812,4.533333333333333,0.5857183337211609,0.8266531229019165,1.0,0.0,0.0,False,False,False
35,126.26667022705078,133.3000030517578,5.866666666666666,0.5768942832946777,0.8611984848976135,0.9466667771339417,0.0,0.0,False,False,False
37,166.3000030517578,174.39999389648438,7.666666666666667,0.5961622297763824,0.9666130542755127,1.0,0.0,0.0,False,False,False
