group_id,member_ids,start_t,end_t,duration_s,centroid_x,centroid_y
1,"[1, 7]",8.266666412353516,12.866666793823242,4.600000381469727,535.7020360274281,701.3265727749831
2,"[1, 10]",24.899999618530273,29.233333587646484,4.333333969116211,415.7631520700979,631.6665106134101
3,"[1, 10]",36.63333511352539,67.86666870117188,31.233333587646484,774.7619140469694,483.34352076872614
4,"[2, 3]",4.0333333015441895,16.133333206176758,12.099999904632568,981.0184259739052,229.36024101413025
5,"[2, 5]",4.800000190734863,11.966666221618652,7.166666030883789,964.4692542904713,183.32596525598746
6,"[2, 6]",4.666666507720947,11.333333015441895,6.666666507720947,992.4553016456398,184.5576365702861
7,"[3, 5]",4.866666793823242,10.633333206176758,5.766666412353516,928.2110630035401,208.45149269104004
8,"[3, 6]",4.666666507720947,11.333333015441895,6.666666507720947,957.4532049427862,210.56005950596023
9,"[4, 13]",24.766666412353516,28.366666793823242,3.6000003814697266,160.18562686058783,281.0262077085433
10,"[5, 6]",4.800000190734863,10.633333206176758,5.8333330154418945,937.6367702594382,164.82025402267544
11,"[31, 33]",193.93333435058594,216.93333435058594,23.0,1030.010422179906,255.46310474244063
12,"[42, 43]",242.60000610351562,303.0333251953125,60.433319091796875,947.4520439037086,179.67891037007462
13,"[42, 47]",286.5,292.20001220703125,5.70001220703125,903.5759229545133,180.88910822121494
14,"[43, 47]",287.1333312988281,294.0,6.866668701171875,887.6769305813697,172.06656548284715
15,"[57, 59]",400.1666564941406,419.8333435058594,19.66668701171875,904.1893865551697,162.83780022532272
